URI,中文名称,ICD-11编码,ICD-11章节,英文名称,引用次数,是否匹配
i631619122001604608,腰椎间盘突出症,FA84.2,15,Lumbar disc herniation,818,是
i631619132059545600,周围性面瘫,8B83.0,08,Peripheral facial palsy,448,是
i631619122358120448,神经根型颈椎病,FA84.1,15,Cervical radiculopathy,328,是
i631619121628311552,椎动脉型颈椎病,FA84.2,15,Vertebral artery cervical spondylosis,294,是
i631619138522968064,肩周炎,FB20.3,15,Adhesive capsulitis of shoulder,292,是
i631619138913038336,失眠,7A00,07,Insomnia,235,是
i631619131879190528,颈椎病,FA84,15,Cervical spondylosis,211,是
i631619122723024896,偏头痛,8A80.0,08,Migraine,192,是
i631619141924548608,面瘫,8B83,08,Facial nerve palsy,189,是
i631619151919575040,颈性眩晕,AB31.1,08,Cervicogenic vertigo,180,是
i631619140922109952,膝关节骨性关节炎,FA00.0,15,Knee osteoarthritis,170,是
i631619134991364096,脑梗死,8B11,08,Cerebral infarction,162,是
i631619130738339840,脑卒中,8B20,08,Stroke,161,是
i631619146253070336,抑郁症,6A70,06,Depressive disorder,156,是
i631619137491169280,中风后遗症,8B2Y,08,Sequelae of stroke,151,是
i631619125449322496,原发性痛经,GA34.10,17,Primary dysmenorrhoea,150,是
i631619179245465600,中风,8B20,08,Stroke,148,是
i631619139873533952,失眠症,7A00,07,Insomnia disorder,141,是
i631619125671620608,膝骨性关节炎,FA00,15,Osteoarthritis,136,是
i631619138200006656,面神经炎,8B83.0,08,Facial neuritis / Bell palsy,129,是
i631619124186836992,膝骨关节炎,FA00.0,15,Knee osteoarthritis,126,是
i631619146777358336,脑卒中偏瘫,8B2Y,08,Post-stroke hemiplegia,124,是
i631619137948348416,中风偏瘫,8B2Y,08,Hemiplegia after stroke,115,是
i631619135930888192,脑卒中后吞咽障碍,MB23.3,21,Post-stroke dysphagia,114,是
i631619136018968576,急性脑梗死,8B11,08,Acute cerebral infarction,107,是
i631619133154258944,带状疱疹,1E91,01,Herpes zoster,100,是
i631619130390212608,突发性耳聋,AA40,09,Sudden sensorineural hearing loss,92,是
i631619150992633856,单纯性肥胖,5B81.0,05,Simple obesity,88,是
i631619173553795072,糖尿病周围神经病变,5A14,05,Diabetic peripheral neuropathy,86,是
i631619178146557952,综合征,GENERIC,21,Syndrome (unspecified),80,是
i631619138241949696,带状疱疹后遗神经痛,1E91,01,Herpes zoster,77,是
i631619124467855360,血管性痴呆,8A67.2,08,Vascular dementia,77,是
i631619150321545216,头痛,8A80,08,Headache,75,是
