URI,中文名称,WHO-RA代码,备注,引用次数,是否匹配
i631619121401819136,足三里,ST36,,5253,是
i631619121359876096,合谷,LI4,,4349,是
i631619121473122304,三阴交,SP6,,4221,是
i631619122278428672,风池,GB20,,3419,是
i631619121594757120,百会,GV20,,3220,是
i631619121615728640,内关,PC6,,3015,是
i631619121389236224,阳陵泉,GB34,,2710,是
i631619124136505344,太冲,LR3,,2700,是
i631619121343098880,曲池,LI11,,2447,是
i631619122160988160,肾俞,BL23,,2011,是
i631619121351487488,外关,TE5,,1877,是
i631619121481510912,阿是穴,Ashi,,1738,是
i631619121934495744,委中,BL40,,1714,是
i631619121452150784,血海,SP10,,1679,是
i631619122194542592,关元,CV4,,1622,是
i631619121917718528,环跳,GB30,,1603,是
i631619121330515968,夹脊,EX-B2,,1562,是
i631619124451078144,太溪,KI3,,1517,是
i631619121435373568,阴陵泉,SP9,,1489,是
i631619124618850304,丰隆,ST40,,1432,是
i631619122874019840,地仓,ST4,,1394,是
i631619122458783744,水沟,GV26,,1325,是
i631619121762529280,太阳,EX-HN5,,1320,是
i631619127064129536,气海,CV6,,1314,是
i631619122865631232,颊车,ST6,,1304,是
i631619122450395136,四神聪,EX-HN1,,1252,是
i631619121406013440,肩髃,LI15,,1233,是
i631619129853341696,翳风,TE17,,1207,是
i631619126254628864,中脘,CV12,,1205,是
i631619125914890240,大椎,GV14,,1134,是
i631619122899185664,阳白,GB14,,1064,是
i631619121959661568,昆仑,BL60,,1031,是
i631619122328760320,手三里,LI10,,997,是
i631619121695420416,印堂,EX-HN3,,993,是
i631619123339587584,神门,HT7,,987,是
i631619122618167296,脾俞,BL20,,952,是
i631619125596123136,悬钟,GB39,,934,是
i631619122605584384,天枢,ST25,,909,是
i631619123117289472,下关,ST7,,863,是
i631619134257360896,四白,ST2,,831,是
i631619122026770432,尺泽,LU5,,829,是
i631619132114071552,攒竹,BL2,,820,是
i631619125797449728,肝俞,BL18,,797,是
i631619121884164096,大肠俞,BL25,,783,是
i631619122907574272,迎香,LI20,,759,是
i631619122743996416,风府,GV16,,716,是
i631619125700980736,廉泉,CV23,,695,是
i631619123482193920,后溪,SI3,,686,是
i631619123498971136,极泉,HT1,,670,是
i631619130578956288,神庭,GV24,,665,是
i631619121951272960,承山,BL57,,651,是
i631619121557008384,天柱,BL10,,650,是
i631619121926107136,风市,GB31,,646,是
i631619128272089088,解溪,ST41,,643,是
i631619124002287616,梁丘,ST34,,626,是
i631619128582467584,膈俞,BL17,,589,是
i631619122202931200,中极,CV3,,551,是
i631619121909329920,秩边,BL54,,542,是
i631619123985510400,犊鼻,ST35,,519,是
i631619127290621952,照海,KI6,,514,是
i631619124530769920,颧髎,SI18,,513,是
i631619123784183808,肩贞,SI9,,511,是
i631619122286817280,肩井,GB21,,493,是
i631619128880263168,腰阳关,GV3,,486,是
i631619126808276992,心俞,BL15,,483,是
i631619123645771776,肩髎,TE14,,482,是
i631619121548619776,完骨,GB12,,481,是
i631619126980243456,命门,GV4,,475,是
i631619127890407424,承浆,CV24,,474,是
i631619132231512064,上巨虚,ST37,,471,是
i631619127928156160,列缺,LU7,,464,是
i631619126892163072,膻中,CV17,,427,是
i631619124685959168,内庭,ST44,,421,是
i631619121586368512,头维,ST8,,412,是
i631619125147332608,太冲穴,LR3,,409,是
i631619129278722048,丘墟,GB40,,403,是
i631619123977121792,内膝眼,EX-LE4,,400,是
i631619126711808000,行间,LR2,,392,是
i631619123910012928,臂臑,LI14,,390,是
i631619124761456640,肺俞,BL13,,372,是
i631619122307788800,天宗,SI11,,364,是
i631619124149088256,中渚,TE3,,363,是
i631619123415085056,足三里穴,ST36,,362,是
i631619129907867648,申脉,BL62,,358,是
i631619129836564480,丝竹空,TE23,,341,是
i631619128301449216,承扶,BL36,,336,是
i631619127911378944,牵正,QIAN-ZHENG,,335,是
i631619122697859072,率谷,GB8,,326,是
i631619134232195072,鱼腰,EX-HN4,,326,是
i631619125734535168,玉液,EX-HN13,,324,是
i631619125726146560,金津,EX-HN12,,320,是
i631619122630750208,胃俞,BL21,,307,是
i631619124052619264,支沟,TE6,,302,是
i631619129442299904,哑门,GV15,,294,是
i631619123004043264,次髎,BL32,,291,是
i631619130365046784,听宫,SI19,,288,是
i631619151370121216,配穴,GENERIC-SUPPLEMENTARY,generic,285,是
i631619129429716992,通里,HT5,,270,是
i631619124249751552,鹤顶,EX-LE2,,269,是
i631619122756579328,子宫,EX-CA1,,263,是
i631619136044134400,睛明,BL1,,262,是
i631619129400356864,上星,GV23,,255,是
i631619135142359040,殷门,BL37,,254,是
i631619123536719872,曲池穴,LI11,,246,是
i631619126409818112,水道,ST28,,241,是
i631619123528331264,肩前,JIAN-QIAN,,239,是
i631619123138260992,听会,GB2,,238,是
i631619121380847616,伏兔,ST32,,236,是
i631619134169280512,本神,GB13,,235,是
i631619134722928640,涌泉,KI1,,227,是
i631619160949911552,太溪穴,KI3,,221,是
i631619126279794688,期门,LR14,,216,是
i631619121372459008,髀关,ST31,,210,是
i631619132948738048,?,Ashi,ashi,205,是
i631619121464733696,曲泉,LR8,,201,是
i631619122064519168,阳池,TE4,,198,是
i631619128863485952,关元俞,BL26,,198,是
i631619124040036352,大陵,PC7,,195,是
i631619125977804800,颈百劳,EX-HN15,,195,是
i631619129001897984,大横,SP15,,194,是
i631619122173571072,膀胱俞,BL28,,191,是
i631619126334320640,脾俞？,BL20,,191,是
i631619211516440576,安眠,AN-MIAN,,189,是
i631619125428350976,地机,SP8,,188,是
i631619124358803456,三阴交穴,SP6,,184,是
i631619153060425728,公孙,SP4,,181,是
i631619122769162240,内生殖器（耳穴）,Ear-Acupoint,auricular,180,是
i631619124904062976,归来,ST29,,176,是
i631619129287110656,足临泣,GB41,,176,是
i631619122710441984,侠溪,GB43,,173,是
i631619126032330752,椎间,ANAT-INTERVERTEBRAL,anatomical,168,是
i631619127215124480,肾俞穴,BL23,,166,是
i631619135893139456,天突,CV22,,165,是
i631619127814909952,上廉泉,UPPER-CV23,,165,是
i631619121850609664,耳门,TE21,,163,是
i631619131111632896,运动区,GS-MS1,,162,是
i631619132986486784,八邪,EX-UE9,,160,是
i631619123540914176,合谷穴,LI4,,158,是
i631619142201372672,大杼,BL11,,156,是
i631619128926400512,下脘,CV10,,156,是
i631619125617094656,膝关,LR7,,155,是
i631619124077785088,阳溪,LI5,,149,是
i631619138145480704,承泣,ST1,,145,是
i631619125608706048,膝阳关,GB33,,142,是
i631619125713563648,人迎,ST9,,142,是
i631619129144504320,曲泽,PC3,,136,是
i631619129236779008,膝眼,EX-LE5,,136,是
i631619138321641472,胆俞,BL19,,132,是
i631619145095442432,下巨虚,ST39,,131,是
i631619129941422080,结核,JIEHU,,131,是
i631619158827593728,风门,BL12,,131,是
i631619124098756608,太渊,LU9,,130,是
i631619123670937600,天井,TE10,,126,是
i631619140792086528,气海俞,BL24,,126,是
i631619125067640832,复溜,KI7,,126,是
i631619123930984448,合谷双侧,,,112,否
i631619125629677568,压痛点,,,111,否
i631619129253556224,太白,SP3,,105,是
i631619141828079616,神阙,CV8,,104,是
i631619128947372032,水分,CV9,,103,是
i631619134248972288,瞳子髎,GB1,,102,是
i631619136077688832,光明,GB37,,102,是
i631619126023942144,脊中,GV6,,102,是
i631619121565396992,肩中俞,SI15,,101,是
i631619151676305408,脑户,GV17,,101,是
i631619141693861888,顶颞前斜线,GS-MS1,,100,是
i631619162812182528,安眠穴,AN-MIAN,,98,是
i631619137914793984,少海,HT3,,97,是
i631619143921037312,至阳,GV9,,95,是
i631619123838709760,肩外俞,SI14,,94,是
i631619148358610944,委阳,BL39,,93,是
i631619161474199552,足运感区,GS-LF1,,93,是
i631619124895674368,带脉,GB26,,92,是
i631619145414209536,滑肉门,ST24,,89,是
i631619122181959680,三焦俞,BL22,,88,是
i631619158974394368,悬钟穴,GB39,,88,是
i631619126040719360,颈椎,ANAT-CERVICAL,anatomical,87,是
i631619170697474048,运动区（焦氏头针）,GS-MS1,,87,是
i631619129115144192,劳宫,PC8,,86,是
i631619156734636032,条口,ST38,,85,是
i631619165769166848,血海穴,SP10,,84,是
i631619160622755840,厥阴俞,BL14,,84,是
i631619137470197760,八风,EX-LE10,,83,是
i631619195716497408,三间,LI3,,83,是
i631619145263214592,养老,SI6,,82,是
i631619124874702848,梁门,ST21,,82,是
i631619138711711744,夹承浆,JIA-CV24,,77,是
i631619124522381312,巨髎,ST3,,77,是
i631619126342709248,章门,LR13,,76,是
i631619179513901056,委中穴,BL40,,76,是
i631619164913528832,心俞？,BL15,,75,是
i631619152276090880,腰眼,EX-B7,,75,是
i631619141706444800,顶中线,GS-MS5,,72,是
i631619136056717312,球后,EX-HN7,,71,是
i631619143614853120,中枢,GV7,,71,是
i631619126158159872,颞Ⅰ针,GS-T1,,71,是
i631619126166548480,颞Ⅱ针,GS-T2,,71,是
i631619126179131392,颞Ⅲ针,GS-T3,,71,是
i631619146697666560,感觉区,GS-SS1,,70,是
i631619129123532800,鱼际,LU10,,70,是
i631619187160117248,神道,GV11,,70,是
i631619124061007872,商丘,SP5,,69,是
i631619133057789952,三阴交双,SP6,,68,是
i631619129010286592,腹结,SP14,,68,是
i631619140175523840,长强,GV1,,67,是
i631619126204297216,双侧足三里,ST36,,67,是
i631619133850513408,会阳,BL35,,66,是
i631619125646454784,太溪双,KI3,,66,是
i631619165827887104,胃脘下俞,EX-B3,,66,是
i631619133003264000,腧穴,GENERIC-ACUPOINT,generic,65,是
i631619124065202176,隐白,SP1,,64,是
i631619121464733700,阴谷,KI10,,64,是
i631619145540038656,扶突,LI18,,64,是
i631619146689277952,感觉区（焦氏头针）,GS-SS1,,64,是
i631619125638066176,痛点,Ashi,ashi,64,是
i631619164728979456,肩髁,LI15,,64,是
i631619179790725120,腕骨,SI4,,64,是
i631619151420452864,少商,LU11,,63,是
i631619159901335552,十宣,EX-UE11,,62,是
i631619123037597696,阳陵泉双,GB34,,60,是
i631619127827492864,廉泉左,CV23,,60,是
i631619127844270080,廉泉右,CV23,,60,是
i631619189756391424,曲骨,CV2,,60,是
i631619125407379456,十七椎,EX-B8,,59,是
i631619139839979520,翳明,EX-HN14,,58,是
i631619145422598144,外陵,ST26,,57,是
i631619129157087232,阳谷,SI5,,57,是
i631619157439279104,顶颞后斜线,GS-SS1,,57,是
i631619194001027072,身柱,GV12,,57,是
i631619123792572416,臑俞,SI10,,56,是
i631619132852269056,间使,PC5,,56,是
i631619137877045248,小海,SI8,,56,是
i631619175759998976,耳尖,EX-HN6,,56,是
i631619175768387584,耳尖（耳穴）,EX-HN6,,56,是
i631619241904173056,肩髃前2寸,,,56,否
i631619241912561664,肩髃后2寸,,,56,否
i631619123662548992,臑会,TE13,,55,是
i631619138728488960,大迎,ST5,,55,是
i631619146987073536,曲鬓,GB7,,55,是
i631619128326615040,飞扬,BL58,,55,是
i631619123515748352,肩髃穴,LI15,,54,是
i631619138044817408,会阴,CV1,,54,是
i631619126720196608,志室,BL52,,54,是
i631619160958300160,巨阙,CV14,,54,是
i631619140162940928,腰俞,GV2,,53,是
i631619129954004992,后溪穴,SI3,,52,是
i631619130570567680,前顶,GV21,,52,是
i631619122538475520,居髎,GB29,,51,是
i631619134303498240,口禾髎,LI19,,51,是
i631619139269554176,上迎香,EX-HN8,,50,是
i631619129555546112,角孙,TE20,,50,是
i631619168537407488,脑空,GB19,,50,是
i631619160161382400,阳陵泉穴,GB34,,50,是
i631619175395094528,足窍阴,GB44,,50,是
i631619178746343424,手五里,LI13,,50,是
i631619137826713600,天泉,PC2,,49,是
i631619141236682752,郄门,PC4,,49,是
i631619145317740544,肩髑,LI15,,49,是
i631619183183917056,上脘,CV13,,49,是
i631619170714251264,言语二区,GS-SL2,,48,是
i631619239932850176,定喘,EX-B1,,48,是
